time,open,high,low,close
2025-05-20T05:20:00.000000000Z,1.12522,1.12546,1.12512,1.12545
2025-05-20T05:25:00.000000000Z,1.12546,1.12572,1.12543,1.12568
2025-05-20T05:30:00.000000000Z,1.12567,1.1258,1.12555,1.12568
2025-05-20T05:35:00.000000000Z,1.1257,1.12588,1.12548,1.12549
2025-05-20T05:40:00.000000000Z,1.1255,1.1256,1.12516,1.12535
2025-05-20T05:45:00.000000000Z,1.12534,1.12549,1.125,1.12518
2025-05-20T05:50:00.000000000Z,1.12518,1.12528,1.1248,1.12504
2025-05-20T05:55:00.000000000Z,1.12505,1.1256,1.12498,1.12546
2025-05-20T06:00:00.000000000Z,1.12546,1.12567,1.12508,1.12518
2025-05-20T06:05:00.000000000Z,1.12518,1.1259,1.12508,1.12586
2025-05-20T06:10:00.000000000Z,1.12586,1.1262,1.12561,1.1262
2025-05-20T06:15:00.000000000Z,1.12623,1.12626,1.12582,1.12593
2025-05-20T06:20:00.000000000Z,1.12592,1.126,1.12548,1.1256
2025-05-20T06:25:00.000000000Z,1.12556,1.12563,1.12536,1.12538
2025-05-20T06:30:00.000000000Z,1.12538,1.12568,1.12518,1.12524
2025-05-20T06:35:00.000000000Z,1.12524,1.12598,1.12514,1.12584
2025-05-20T06:40:00.000000000Z,1.12582,1.12594,1.12554,1.12578
2025-05-20T06:45:00.000000000Z,1.12577,1.12588,1.12538,1.12561
2025-05-20T06:50:00.000000000Z,1.1256,1.12566,1.12526,1.12562
2025-05-20T06:55:00.000000000Z,1.12563,1.12611,1.12562,1.12577
2025-05-20T07:00:00.000000000Z,1.12574,1.12614,1.12532,1.126
2025-05-20T07:05:00.000000000Z,1.12601,1.12658,1.12598,1.12643
2025-05-20T07:10:00.000000000Z,1.12642,1.12729,1.12634,1.12712
2025-05-20T07:15:00.000000000Z,1.12712,1.12738,1.12666,1.12676
2025-05-20T07:20:00.000000000Z,1.12676,1.12727,1.12661,1.12666
2025-05-20T07:25:00.000000000Z,1.12666,1.12711,1.12654,1.1271
2025-05-20T07:30:00.000000000Z,1.12713,1.12718,1.1266,1.12706
2025-05-20T07:35:00.000000000Z,1.12704,1.12717,1.12682,1.12703
2025-05-20T07:40:00.000000000Z,1.12702,1.12768,1.12702,1.1272
2025-05-20T07:45:00.000000000Z,1.12721,1.12754,1.12716,1.1274
2025-05-20T07:50:00.000000000Z,1.12738,1.12755,1.12727,1.12744
2025-05-20T07:55:00.000000000Z,1.12744,1.12779,1.12728,1.12763
2025-05-20T08:00:00.000000000Z,1.12762,1.12763,1.12712,1.12714
2025-05-20T08:05:00.000000000Z,1.12713,1.12728,1.1266,1.12664
2025-05-20T08:10:00.000000000Z,1.12664,1.1268,1.12635,1.12637
2025-05-20T08:15:00.000000000Z,1.12638,1.12654,1.12601,1.12628
2025-05-20T08:20:00.000000000Z,1.1263,1.12644,1.12596,1.12604
2025-05-20T08:25:00.000000000Z,1.12602,1.1263,1.12594,1.12612
2025-05-20T08:30:00.000000000Z,1.12612,1.1266,1.12612,1.12648
2025-05-20T08:35:00.000000000Z,1.12648,1.12648,1.1258,1.1262
2025-05-20T08:40:00.000000000Z,1.1262,1.1262,1.12513,1.12517
2025-05-20T08:45:00.000000000Z,1.12518,1.12564,1.12476,1.12534
2025-05-20T08:50:00.000000000Z,1.12535,1.12573,1.12528,1.12558
2025-05-20T08:55:00.000000000Z,1.12557,1.12598,1.12538,1.12585
2025-05-20T09:00:00.000000000Z,1.12587,1.12614,1.12568,1.1258
2025-05-20T09:05:00.000000000Z,1.12579,1.12617,1.12567,1.12598
2025-05-20T09:10:00.000000000Z,1.126,1.12674,1.126,1.12668
2025-05-20T09:15:00.000000000Z,1.12669,1.12672,1.12637,1.1265
2025-05-20T09:20:00.000000000Z,1.12646,1.12648,1.1258,1.1258
2025-05-20T09:25:00.000000000Z,1.12578,1.1263,1.12572,1.1261
2025-05-20T09:30:00.000000000Z,1.12612,1.12614,1.12577,1.12583
2025-05-20T09:35:00.000000000Z,1.12584,1.12584,1.12519,1.1254
2025-05-20T09:40:00.000000000Z,1.12538,1.12538,1.12514,1.12518
2025-05-20T09:45:00.000000000Z,1.12516,1.12532,1.125,1.1253
2025-05-20T09:50:00.000000000Z,1.1253,1.12554,1.12519,1.1254
