RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
10,45,55,1.5,0.000383,1.0,374,-1874.2,0.0
14,45,55,1.5,0.000383,1.0,360,-1810.49,0.0
