Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,10,25,75,1.0,0.03,1.5,876,91.62,46.12
USD_JPY,10,25,75,1.0,0.03,2.0,876,-404.17,42.92
USD_JPY,10,25,75,1.5,0.02,1.0,876,-102.97,49.77
USD_JPY,10,25,75,1.5,0.02,1.5,876,-433.75,46.23
USD_JPY,10,25,75,1.5,0.02,2.0,876,-583.02,44.98
USD_JPY,10,25,75,1.5,0.03,1.0,876,-102.97,49.77
USD_JPY,10,25,75,1.5,0.03,1.5,876,-433.75,46.23
USD_JPY,10,25,75,1.5,0.03,2.0,876,-583.02,44.98
USD_JPY,10,25,75,2.0,0.02,1.0,876,-202.96,49.43
USD_JPY,10,25,75,2.0,0.02,1.5,876,-406.15,47.6
USD_JPY,10,25,75,2.0,0.02,2.0,876,-430.58,47.15
USD_JPY,10,25,75,2.0,0.03,1.0,876,-202.96,49.43
USD_JPY,10,25,75,2.0,0.03,1.5,876,-406.15,47.6
USD_JPY,10,25,75,2.0,0.03,2.0,876,-430.58,47.15
USD_JPY,10,25,80,1.0,0.02,1.0,716,1020.56,53.07
USD_JPY,10,25,80,1.0,0.02,1.5,716,-316.81,43.44
USD_JPY,10,25,80,1.0,0.02,2.0,716,-627.1,39.53
USD_JPY,10,25,80,1.0,0.03,1.0,716,1020.66,53.07
USD_JPY,10,25,80,1.0,0.03,1.5,716,-316.77,43.44
USD_JPY,10,25,80,1.0,0.03,2.0,716,-627.08,39.53
USD_JPY,10,25,80,1.5,0.02,1.0,716,-488.03,47.49
USD_JPY,10,25,80,1.5,0.02,1.5,716,-676.82,43.16
USD_JPY,10,25,80,1.5,0.02,2.0,716,-762.01,41.62
USD_JPY,10,25,80,1.5,0.03,1.0,716,-488.03,47.49
USD_JPY,10,25,80,1.5,0.03,1.5,716,-676.82,43.16
USD_JPY,10,25,80,1.5,0.03,2.0,716,-762.01,41.62
USD_JPY,10,25,80,2.0,0.02,1.0,716,-513.17,47.63
USD_JPY,10,25,80,2.0,0.02,1.5,716,-637.28,45.39
USD_JPY,10,25,80,2.0,0.02,2.0,716,-652.2,44.83
USD_JPY,10,25,80,2.0,0.03,1.0,716,-513.17,47.63
USD_JPY,10,25,80,2.0,0.03,1.5,716,-637.28,45.39
USD_JPY,10,25,80,2.0,0.03,2.0,716,-652.2,44.83
USD_JPY,10,30,70,1.0,0.02,1.0,1351,757.06,51.81
USD_JPY,10,30,70,1.0,0.02,1.5,1351,-414.88,45.15
USD_JPY,10,30,70,1.0,0.02,2.0,1351,-792.8,41.82
USD_JPY,10,30,70,1.0,0.03,1.0,1351,757.15,51.81
USD_JPY,10,30,70,1.0,0.03,1.5,1351,-414.85,45.15
USD_JPY,10,30,70,1.0,0.03,2.0,1351,-792.79,41.82
USD_JPY,10,30,70,1.5,0.02,1.0,1351,-273.74,49.67
USD_JPY,10,30,70,1.5,0.02,1.5,1351,-648.05,46.04
USD_JPY,10,30,70,1.5,0.02,2.0,1351,-690.96,45.0
USD_JPY,10,30,70,1.5,0.03,1.0,1351,-273.74,49.67
USD_JPY,10,30,70,1.5,0.03,1.5,1351,-648.05,46.04
USD_JPY,10,30,70,1.5,0.03,2.0,1351,-690.96,45.0
USD_JPY,10,30,70,2.0,0.02,1.0,1351,-558.84,48.33
USD_JPY,10,30,70,2.0,0.02,1.5,1351,-625.71,46.85
USD_JPY,10,30,70,2.0,0.02,2.0,1351,-686.08,46.34
USD_JPY,10,30,70,2.0,0.03,1.0,1351,-558.84,48.33
USD_JPY,10,30,70,2.0,0.03,1.5,1351,-625.71,46.85
USD_JPY,10,30,70,2.0,0.03,2.0,1351,-686.08,46.34
USD_JPY,10,30,75,1.0,0.02,1.0,1162,878.0,52.15
USD_JPY,10,30,75,1.0,0.02,1.5,1162,-374.6,44.41
USD_JPY,10,30,75,1.0,0.02,2.0,1162,-778.54,40.53
USD_JPY,10,30,75,1.0,0.03,1.0,1162,878.09,52.15
USD_JPY,10,30,75,1.0,0.03,1.5,1162,-374.57,44.41
USD_JPY,10,30,75,1.0,0.03,2.0,1162,-778.53,40.53
USD_JPY,10,30,75,1.5,0.02,1.0,1162,-505.57,48.62
USD_JPY,10,30,75,1.5,0.02,1.5,1162,-760.4,44.41
USD_JPY,10,30,75,1.5,0.02,2.0,1162,-789.61,43.2
USD_JPY,10,30,75,1.5,0.03,1.0,1162,-505.57,48.62
USD_JPY,10,30,75,1.5,0.03,1.5,1162,-760.4,44.41
USD_JPY,10,30,75,1.5,0.03,2.0,1162,-789.61,43.2
USD_JPY,10,30,75,2.0,0.02,1.0,1162,-677.97,47.25
USD_JPY,10,30,75,2.0,0.02,1.5,1162,-726.79,45.52
USD_JPY,10,30,75,2.0,0.02,2.0,1162,-770.86,44.92
USD_JPY,10,30,75,2.0,0.03,1.0,1162,-677.97,47.25
USD_JPY,10,30,75,2.0,0.03,1.5,1162,-726.79,45.52
USD_JPY,10,30,75,2.0,0.03,2.0,1162,-770.86,44.92
USD_JPY,10,30,80,1.0,0.02,1.0,1002,175.41,51.2
