time,open,high,low,close,volume
2025-03-27T12:30:00.000000000Z,150.854,150.928,150.673,150.71,4599
2025-03-27T12:45:00.000000000Z,150.71,150.782,150.672,150.732,3275
2025-03-27T13:00:00.000000000Z,150.732,150.831,150.646,150.817,3687
2025-03-27T13:15:00.000000000Z,150.819,150.899,150.762,150.79,3375
2025-03-27T13:30:00.000000000Z,150.788,150.839,150.583,150.616,6375
2025-03-27T13:45:00.000000000Z,150.618,150.882,150.606,150.875,5563
2025-03-27T14:00:00.000000000Z,150.873,150.911,150.766,150.902,5061
2025-03-27T14:15:00.000000000Z,150.902,150.965,150.864,150.939,5092
2025-03-27T14:30:00.000000000Z,150.94,150.998,150.862,150.988,4537
2025-03-27T14:45:00.000000000Z,150.988,151.062,150.932,151.014,4575
2025-03-27T15:00:00.000000000Z,151.015,151.036,150.889,150.932,4175
2025-03-27T15:15:00.000000000Z,150.932,150.979,150.89,150.91,3630
2025-03-27T15:30:00.000000000Z,150.912,150.912,150.658,150.708,5265
2025-03-27T15:45:00.000000000Z,150.708,151.0,150.696,150.97,5420
2025-03-27T16:00:00.000000000Z,150.97,151.095,150.914,151.007,3385
2025-03-27T16:15:00.000000000Z,151.008,151.053,150.952,150.962,2650
2025-03-27T16:30:00.000000000Z,150.964,151.158,150.955,151.14,3301
2025-03-27T16:45:00.000000000Z,151.138,151.149,150.987,151.012,4169
2025-03-27T17:00:00.000000000Z,151.011,151.117,150.964,151.114,3665
2025-03-27T17:15:00.000000000Z,151.11,151.147,151.04,151.046,3454
2025-03-27T17:30:00.000000000Z,151.045,151.119,151.042,151.093,3149
2025-03-27T17:45:00.000000000Z,151.096,151.14,151.058,151.078,3220
2025-03-27T18:00:00.000000000Z,151.078,151.148,151.068,151.105,2891
2025-03-27T18:15:00.000000000Z,151.104,151.124,151.079,151.094,1981
2025-03-27T18:30:00.000000000Z,151.094,151.124,151.038,151.106,2168
2025-03-27T18:45:00.000000000Z,151.108,151.146,151.096,151.113,2036
2025-03-27T19:00:00.000000000Z,151.112,151.15,151.081,151.115,2366
2025-03-27T19:15:00.000000000Z,151.114,151.146,151.112,151.13,2160
2025-03-27T19:30:00.000000000Z,151.131,151.132,151.036,151.051,2185
2025-03-27T19:45:00.000000000Z,151.052,151.08,151.02,151.041,2164
2025-03-27T20:00:00.000000000Z,151.04,151.059,151.032,151.039,813
2025-03-27T20:15:00.000000000Z,151.04,151.05,151.032,151.035,551
2025-03-27T20:30:00.000000000Z,151.036,151.062,151.034,151.052,374
2025-03-27T20:45:00.000000000Z,151.05,151.065,151.04,151.043,644
2025-03-27T21:00:00.000000000Z,151.053,151.053,151.014,151.014,44
2025-03-27T21:15:00.000000000Z,151.015,151.029,151.014,151.026,47
2025-03-27T21:30:00.000000000Z,151.023,151.049,151.02,151.044,370
2025-03-27T21:45:00.000000000Z,151.046,151.056,151.032,151.056,129
2025-03-27T22:00:00.000000000Z,151.049,151.06,151.024,151.038,378
2025-03-27T22:15:00.000000000Z,151.038,151.118,151.038,151.095,607
2025-03-27T22:30:00.000000000Z,151.096,151.11,151.054,151.062,726
2025-03-27T22:45:00.000000000Z,151.064,151.07,151.031,151.053,566
2025-03-27T23:00:00.000000000Z,151.049,151.067,150.97,150.99,1299
2025-03-27T23:15:00.000000000Z,150.992,151.021,150.954,151.006,860
2025-03-27T23:30:00.000000000Z,151.009,151.012,150.767,150.806,3207
2025-03-27T23:45:00.000000000Z,150.806,150.922,150.774,150.852,2563
2025-03-28T00:00:00.000000000Z,150.853,150.998,150.833,150.992,3240
2025-03-28T00:15:00.000000000Z,150.992,151.106,150.984,151.044,2727
2025-03-28T00:30:00.000000000Z,151.043,151.214,151.029,151.156,2723
2025-03-28T00:45:00.000000000Z,151.156,151.186,150.923,150.964,3793
2025-03-28T01:00:00.000000000Z,150.964,150.978,150.818,150.848,3488
2025-03-28T01:15:00.000000000Z,150.846,150.926,150.82,150.872,2578
2025-03-28T01:30:00.000000000Z,150.872,150.922,150.73,150.809,3095
2025-03-28T01:45:00.000000000Z,150.808,150.842,150.704,150.755,2574
2025-03-28T02:00:00.000000000Z,150.754,150.83,150.74,150.826,2370
