time,open,high,low,close,volume
2025-03-27T12:30:00.000000000Z,1.29458,1.29692,1.2945,1.29538,3787
2025-03-27T12:45:00.000000000Z,1.29538,1.2956,1.29414,1.29451,3208
2025-03-27T13:00:00.000000000Z,1.29452,1.29526,1.2938,1.29388,3401
2025-03-27T13:15:00.000000000Z,1.29388,1.29402,1.2931,1.29332,2935
2025-03-27T13:30:00.000000000Z,1.29332,1.2943,1.29308,1.29424,3438
2025-03-27T13:45:00.000000000Z,1.29424,1.2944,1.29276,1.29283,3837
2025-03-27T14:00:00.000000000Z,1.29284,1.2935,1.2923,1.29255,3451
2025-03-27T14:15:00.000000000Z,1.29256,1.29334,1.29227,1.29328,2853
2025-03-27T14:30:00.000000000Z,1.29325,1.29414,1.2929,1.29396,2351
2025-03-27T14:45:00.000000000Z,1.29394,1.29484,1.29352,1.29468,3265
2025-03-27T15:00:00.000000000Z,1.29466,1.29553,1.29436,1.29534,2861
2025-03-27T15:15:00.000000000Z,1.29533,1.2968,1.29532,1.29673,3462
2025-03-27T15:30:00.000000000Z,1.29672,1.29908,1.29665,1.29882,4622
2025-03-27T15:45:00.000000000Z,1.29882,1.29922,1.2957,1.29629,5960
2025-03-27T16:00:00.000000000Z,1.29628,1.29703,1.29601,1.29674,3264
2025-03-27T16:15:00.000000000Z,1.29675,1.29727,1.29576,1.29604,2196
2025-03-27T16:30:00.000000000Z,1.29604,1.29632,1.29555,1.29564,2004
2025-03-27T16:45:00.000000000Z,1.29564,1.29592,1.29533,1.29571,2396
2025-03-27T17:00:00.000000000Z,1.29571,1.2966,1.29542,1.2964,2562
2025-03-27T17:15:00.000000000Z,1.29638,1.2967,1.2957,1.29582,1779
2025-03-27T17:30:00.000000000Z,1.29583,1.29586,1.2953,1.29536,1614
2025-03-27T17:45:00.000000000Z,1.29535,1.29554,1.29481,1.29496,1499
2025-03-27T18:00:00.000000000Z,1.29496,1.29572,1.29478,1.29572,1272
2025-03-27T18:15:00.000000000Z,1.2957,1.29572,1.29514,1.2956,1160
2025-03-27T18:30:00.000000000Z,1.2956,1.29584,1.29529,1.29556,1753
2025-03-27T18:45:00.000000000Z,1.29554,1.29568,1.29494,1.295,889
2025-03-27T19:00:00.000000000Z,1.29499,1.29526,1.29458,1.29516,1249
2025-03-27T19:15:00.000000000Z,1.29514,1.2955,1.29504,1.2955,995
2025-03-27T19:30:00.000000000Z,1.29546,1.29571,1.29536,1.29538,1224
2025-03-27T19:45:00.000000000Z,1.29537,1.29558,1.29487,1.29492,978
2025-03-27T20:00:00.000000000Z,1.29492,1.29512,1.29476,1.29499,718
2025-03-27T20:15:00.000000000Z,1.29499,1.29504,1.29482,1.29484,344
2025-03-27T20:30:00.000000000Z,1.29486,1.29498,1.29475,1.29488,353
2025-03-27T20:45:00.000000000Z,1.2949,1.29508,1.29471,1.29492,432
2025-03-27T21:00:00.000000000Z,1.29468,1.29474,1.29455,1.29474,46
2025-03-27T21:15:00.000000000Z,1.29472,1.29594,1.29453,1.29552,244
2025-03-27T21:30:00.000000000Z,1.2955,1.2955,1.29493,1.29524,160
2025-03-27T21:45:00.000000000Z,1.29523,1.29538,1.2951,1.29533,257
2025-03-27T22:00:00.000000000Z,1.29533,1.29533,1.29446,1.29447,357
2025-03-27T22:15:00.000000000Z,1.29448,1.29458,1.29437,1.29455,203
2025-03-27T22:30:00.000000000Z,1.29454,1.29474,1.29454,1.29472,212
2025-03-27T22:45:00.000000000Z,1.29472,1.29478,1.29454,1.29459,424
2025-03-27T23:00:00.000000000Z,1.29459,1.29478,1.29458,1.29474,445
2025-03-27T23:15:00.000000000Z,1.29476,1.29481,1.29466,1.29476,179
2025-03-27T23:30:00.000000000Z,1.29476,1.29513,1.29464,1.29506,457
2025-03-27T23:45:00.000000000Z,1.29503,1.29518,1.29493,1.29516,410
2025-03-28T00:00:00.000000000Z,1.29514,1.29515,1.29451,1.29461,1262
2025-03-28T00:15:00.000000000Z,1.29462,1.29476,1.29433,1.29446,1226
2025-03-28T00:30:00.000000000Z,1.29446,1.29458,1.2941,1.29426,1127
2025-03-28T00:45:00.000000000Z,1.29426,1.29488,1.29418,1.29484,1332
2025-03-28T01:00:00.000000000Z,1.29484,1.295,1.29461,1.29482,1306
2025-03-28T01:15:00.000000000Z,1.29484,1.29513,1.29452,1.29462,1071
2025-03-28T01:30:00.000000000Z,1.29459,1.29519,1.29454,1.2949,1159
2025-03-28T01:45:00.000000000Z,1.29488,1.2949,1.29462,1.29466,1053
2025-03-28T02:00:00.000000000Z,1.29466,1.29495,1.29456,1.29492,989
2025-03-28T02:15:00.000000000Z,1.29492,1.29532,1.29486,1.29504,1218
2025-03-28T02:30:00.000000000Z,1.29501,1.29516,1.29452,1.29458,1158
2025-03-28T02:45:00.000000000Z,1.29459,1.29488,1.29452,1.29484,1065
2025-03-28T03:00:00.000000000Z,1.29486,1.29517,1.29477,1.29497,1050
2025-03-28T03:15:00.000000000Z,1.29496,1.29498,1.29464,1.2947,996
2025-03-28T03:30:00.000000000Z,1.29472,1.29488,1.29451,1.29457,837
2025-03-28T03:45:00.000000000Z,1.2946,1.29466,1.29448,1.29459,538
2025-03-28T04:00:00.000000000Z,1.29458,1.29465,1.29426,1.29431,725
2025-03-28T04:15:00.000000000Z,1.29432,1.29454,1.29414,1.29426,748
2025-03-28T04:30:00.000000000Z,1.29426,1.29456,1.29418,1.29444,659
2025-03-28T04:45:00.000000000Z,1.29444,1.29448,1.29409,1.29414,383
2025-03-28T05:00:00.000000000Z,1.29416,1.2944,1.29392,1.29398,550
